# recorded_at: 02_33_17_16_05_26
# replay_hz: 30.0
timestamp,SpL_position,SpL_velocity,SpL_torque,SpL_temperature,SpL_mode,SpL_fault,SpL_enabled,SrL_position,SrL_velocity,SrL_torque,SrL_temperature,SrL_mode,SrL_fault,SrL_enabled,SwL_position,SwL_velocity,SwL_torque,SwL_temperature,SwL_mode,SwL_fault,SwL_enabled,EpL_position,EpL_velocity,EpL_torque,EpL_temperature,EpL_mode,EpL_fault,EpL_enabled,WwL_position,WwL_velocity,WwL_torque,WwL_temperature,WwL_mode,WwL_fault,WwL_enabled,WpL_position,WpL_velocity,WpL_torque,WpL_temperature,WpL_mode,WpL_fault,WpL_enabled,WrL_position,WrL_velocity,WrL_torque,WrL_temperature,WrL_mode,WrL_fault,WrL_enabled
0.0028,-0.07039276722362153,-0.04133669031815046,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,0.030441748683909253,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.21950102998397725,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,-0.032364385442892996,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,0.22088960097657662,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.12823682001983627,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.12823682001983627,-0.00025940337224383825,32.0,0,0,0
0.0363,-0.07039276722362153,-0.04197756923781171,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.05415426871137541,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.04197756923781171,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.12336919203479013,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.1738918135347518,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.0919813839932857,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.03155565728236809,-0.00025940337224383825,32.0,0,0,0
0.0697,-0.07039276722362153,-0.018265049210345552,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.024673838406958026,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.0003204394598306237,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.1310597390707251,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.0651255054551001,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.07049668116273722,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.003356984817273201,-0.00025940337224383825,32.0,0,0,0
0.1031,-0.07039276722362153,-0.018265049210345552,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.030441748683909253,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.037491416800182975,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.10286106660563021,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,0.0986953536278321,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.054383154039825854,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.12957961394674555,-0.00025940337224383825,32.0,0,0,0
0.1365,-0.07039276722362153,0.10734721904325895,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.02915999084458676,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.07466239414053533,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.1406729228656438,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,-0.0060425726710917615,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.024841687647821686,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.05169756618600729,-0.00025940337224383825,32.0,0,0,0
0.17,-0.07039276722362153,0.07145799954222909,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,0.04902723735408543,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.11311512932021017,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.0310826276035705,-0.000915541313801782,30.0,0,0,0,-0.05274662394140428,-0.0852674143587393,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.1255512321660177,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.16314946211947756,-0.00025940337224383825,32.0,0,0,0
0.2034,-0.07039276722362153,-0.03877317463950547,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,0.009933623254749335,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.08299382009613154,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.0310826276035705,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.023498893720912406,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.004699778744182481,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.07989623865110218,-0.00025940337224383825,32.0,0,0,0
0.2368,-0.07039276722362153,-0.003524834058136861,-0.001831082627603564,26.0,0,0,0,-0.016687113756008287,-0.024673838406958026,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,0.10093842984664647,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,-0.04133669031815046,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.09600976577401354,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,-0.059754329747462975,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.07989623865110218,-0.00025940337224383825,32.0,0,0,0
0.2702,-0.07039276722362153,0.1445181963836113,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.02082856488899054,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.15605401693751375,-0.000915541313801782,28.0,0,0,0,0.0692419317921722,0.08491645685511529,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.019470511940184565,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.11212329289692491,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,0.007385366598001042,-0.00025940337224383825,32.0,0,0,0
0.3036,-0.07039276722362153,-0.0432593270771342,-0.001831082627603564,26.0,0,0,0,-0.017070725566492584,-0.0810711833371478,-0.001831082627603564,27.0,0,0,0,-0.04814328221561048,-0.06312657358663287,-0.000915541313801782,28.0,0,0,0,0.06962554360265472,0.047745479514762934,-0.000915541313801782,30.0,0,0,0,-0.05313023575188858,0.07049668116273722,-0.00025940337224383825,30.0,0,0,0,6.197824216067751,0.04229800869764233,-0.00025940337224383825,31.0,0,0,0,-2.2282092011902037,-0.0651255054551001,-0.00025940337224383825,32.0,0,0,0
